step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,ageOrig,ageDest
279,CASH_IN,37858.77,C2033488586,1288022.9,1325881.67,C586342847,149773.34,111914.57,0,0,54,36.0
235,TRANSFER,2868318.0,C332814976,21668.0,0.0,C1203082396,0.0,2868318.0,0,0,49,76.0
698,CASH_OUT,2184556.65,C679742636,2184556.65,0.0,C1476073685,734500.25,2919056.89,1,0,24,51.0
380,PAYMENT,11261.95,C971438791,0.0,0.0,M242559080,0.0,0.0,0,0,67,NaN
20,TRANSFER,132860.2,C1758805879,6771.16,0.0,C1295339831,2209255.58,2342115.79,0,0,66,21.0
13,CASH_OUT,554601.31,C598685915,13483.0,0.0,C1905024413,0.0,554601.31,0,0,83,87.0
435,TRANSFER,1143937.73,C206561987,1143937.73,0.0,C1495554758,0.0,0.0,1,0,39,88.0
370,CASH_OUT,1822772.73,C628490839,1822772.73,0.0,C107223532,0.0,2004899.07,1,0,28,28.0
360,CASH_OUT,338686.89,C1896338088,162741.21,0.0,C1976125071,2229311.56,2567998.45,0,0,74,51.0
303,TRANSFER,199870.29,C37736433,199870.29,0.0,C279131656,0.0,0.0,1,0,24,21.0
229,TRANSFER,590064.62,C208120416,0.0,0.0,C637986933,1605826.83,2195891.44,0,0,56,81.0
42,CASH_OUT,557045.1,C1191607798,65813.0,0.0,C727161973,747606.6,1708037.35,0,0,44,72.0
684,TRANSFER,168303.36,C1085553126,168303.36,0.0,C440988194,0.0,0.0,1,0,65,49.0
617,TRANSFER,10000000.0,C1612182760,12542664.27,2542664.27,C455244250,0.0,0.0,1,0,40,23.0
268,TRANSFER,754874.26,C390809517,754874.26,0.0,C1817850202,0.0,0.0,1,0,75,76.0
283,CASH_OUT,31841.99,C1159925907,0.0,0.0,C954045599,1313770.25,1345612.24,0,0,36,23.0
228,PAYMENT,17354.41,C725978721,123521.0,106166.59,M1963564364,0.0,0.0,0,0,67,NaN
402,CASH_OUT,286896.19,C1987694013,356628.0,69731.81,C1094789795,304782.65,591678.84,0,0,26,32.0
396,CASH_IN,40907.23,C1978741096,2322943.72,2363850.94,C754601346,1779384.67,1738477.44,0,0,77,51.0
285,PAYMENT,5918.8,C682824949,404571.06,398652.26,M154596818,0.0,0.0,0,0,23,NaN
212,TRANSFER,1947807.58,C1501311535,1947807.58,0.0,C37561886,0.0,0.0,1,0,49,41.0
153,CASH_IN,200070.95,C1432481999,100521.0,300591.95,C571926263,0.0,0.0,0,0,18,36.0
137,PAYMENT,4952.92,C583396891,41993.0,37040.08,M165909782,0.0,0.0,0,0,65,NaN
150,TRANSFER,163852.19,C1298700512,163852.19,0.0,C1954906518,0.0,0.0,1,0,88,33.0
303,PAYMENT,407.75,C330808946,0.0,0.0,M2043442520,0.0,0.0,0,0,31,NaN
436,TRANSFER,4135944.29,C1964768315,4135944.29,0.0,C205094205,0.0,0.0,1,0,20,33.0
133,CASH_IN,324540.51,C2119732613,1028382.33,1352922.85,C684815137,5432216.3,5107675.79,0,0,34,32.0
20,CASH_IN,56563.74,C1716171892,430340.51,486904.25,C1986580577,16450393.81,16480881.67,0,0,87,58.0
323,CASH_IN,44458.15,C1255006091,13758479.18,13802937.33,C5346179,45284.69,826.55,0,0,45,51.0
145,TRANSFER,9467.62,C384072543,9467.62,0.0,C588343679,0.0,0.0,1,0,81,60.0
325,TRANSFER,441873.49,C171987241,441873.49,0.0,C143177495,0.0,0.0,1,0,76,86.0
304,TRANSFER,10000000.0,C1008038799,35426.0,0.0,C1277714112,2136532.69,24749564.02,0,0,54,40.0
378,CASH_OUT,54394.78,C338382532,0.0,0.0,C178700518,373957.84,428352.62,0,0,22,85.0
625,TRANSFER,58924.16,C475096619,58924.16,0.0,C1365777468,0.0,0.0,1,0,53,64.0
225,TRANSFER,476321.8,C562970310,476321.8,0.0,C152339852,0.0,0.0,1,0,75,70.0
156,CASH_OUT,773696.12,C1433143249,773696.12,0.0,C2122364089,0.0,773696.12,1,0,39,71.0
229,TRANSFER,60456.69,C1444578875,0.0,0.0,C1474205154,4292906.58,4353363.27,0,0,72,78.0
41,CASH_IN,172717.21,C908708666,1833010.56,2005727.77,C1096854382,212858.17,40140.96,0,0,61,45.0
15,CASH_OUT,86962.71,C1600129046,74862.0,0.0,C1522743169,107431.27,194393.98,0,0,88,40.0
419,TRANSFER,533092.45,C1329946363,533092.45,0.0,C641771382,0.0,0.0,1,0,37,50.0
302,CASH_IN,115841.66,C1037340601,6403799.24,6519640.9,C257394741,951711.22,835869.56,0,0,26,86.0
140,CASH_OUT,62215.65,C1749911496,0.0,0.0,C1618662706,104056.05,166271.7,0,0,90,38.0
259,PAYMENT,2797.47,C2143030116,14918.0,12120.53,M1277438791,0.0,0.0,0,0,51,NaN
277,CASH_OUT,61586.43,C260744115,0.0,0.0,C1055891270,1437034.69,1498621.12,0,0,44,61.0
306,TRANSFER,9672906.34,C1893706815,0.0,0.0,C1648396576,10227141.44,19900047.78,0,0,58,21.0
512,TRANSFER,8991625.83,C1466563113,8991625.83,0.0,C1693955122,0.0,0.0,1,0,30,44.0
35,CASH_IN,36930.8,C2139297247,9961896.9,9998827.7,C1657592074,40224.37,3293.57,0,0,85,85.0
353,PAYMENT,15133.18,C391419002,0.0,0.0,M250986237,0.0,0.0,0,0,26,NaN
201,PAYMENT,3705.23,C1113127424,0.0,0.0,M1802091752,0.0,0.0,0,0,50,NaN
309,TRANSFER,2019508.99,C891657273,2019508.99,0.0,C862850216,0.0,0.0,1,0,33,40.0
163,CASH_IN,334554.43,C444708112,27859407.46,28193961.88,C541986173,2208137.91,1873583.48,0,0,88,85.0
370,CASH_IN,147038.3,C1909808415,18823346.67,18970384.96,C329324750,199567.73,52529.43,0,0,24,28.0
360,CASH_OUT,758848.47,C444540827,758848.47,0.0,C844469689,9507465.84,10266314.31,1,0,32,62.0
684,CASH_OUT,68486.09,C1684948897,10972.0,0.0,C1129030817,4955414.02,5023900.11,0,0,38,21.0
639,CASH_OUT,246250.77,C2080432617,246250.77,0.0,C1212610718,270734.08,516984.85,1,0,54,90.0
491,CASH_OUT,1122827.94,C1274959638,1122827.94,0.0,C870195127,257056.52,1379884.46,1,0,42,30.0
160,CASH_OUT,39679.68,C1110476049,20562.0,0.0,C1012436622,1212596.09,1252275.77,0,0,57,50.0
140,CASH_OUT,200844.28,C1854540637,0.0,0.0,C1138044130,250716.09,451560.37,0,0,29,77.0
212,TRANSFER,1434440.31,C1722259172,1434440.31,0.0,C715201096,0.0,0.0,1,0,45,24.0
254,CASH_OUT,110631.45,C1249881858,106.0,0.0,C1397905578,2247828.22,2358459.67,0,0,69,31.0
15,TRANSFER,119.0,C1995557473,119.0,0.0,C1480876722,0.0,0.0,1,0,77,78.0
355,CASH_IN,48321.63,C1439230432,6200734.76,6249056.39,C564255261,51149.09,2827.47,0,0,22,23.0
202,PAYMENT,6321.33,C699897832,4172.0,0.0,M1935935408,0.0,0.0,0,0,88,NaN
455,CASH_OUT,2108589.59,C759307305,2108589.59,0.0,C611078934,0.0,2108589.59,1,0,33,57.0
462,TRANSFER,155028.83,C750908080,155028.83,0.0,C279725072,0.0,0.0,1,0,66,19.0
372,CASH_OUT,478280.62,C684037180,1144.0,0.0,C176538477,76807.02,555087.63,0,0,59,21.0
305,PAYMENT,16997.56,C1069209042,50380.0,33382.44,M1419111524,0.0,0.0,0,0,55,NaN
260,CASH_OUT,22598.46,C1489757742,23677.0,1078.54,C1960668912,46255.11,68853.56,0,0,22,77.0
135,TRANSFER,515645.16,C885687058,515645.16,0.0,C1873143762,0.0,0.0,1,0,64,63.0
465,TRANSFER,461255.26,C470923235,461255.26,0.0,C588226024,0.0,0.0,1,0,34,69.0
182,CASH_OUT,148611.88,C753033,0.0,0.0,C329867275,2555266.78,2703878.66,0,0,57,53.0
132,CASH_OUT,633005.5,C545833628,141550.0,0.0,C445891251,0.0,893569.16,0,0,60,32.0
276,PAYMENT,26912.86,C157043572,0.0,0.0,M451968994,0.0,0.0,0,0,89,NaN
10,TRANSFER,59835.0,C1568400442,59835.0,0.0,C1262169546,0.0,0.0,1,0,75,87.0
273,TRANSFER,103078.52,C1724879922,103078.52,0.0,C728668261,0.0,0.0,1,0,25,19.0
377,CASH_OUT,489033.93,C922540199,489033.93,0.0,C1098002661,0.0,489033.93,1,0,20,55.0
110,TRANSFER,904124.58,C1150317761,904124.58,0.0,C1725680409,0.0,0.0,1,0,58,35.0
353,CASH_OUT,254275.12,C569939009,41155.0,0.0,C655508294,260896.55,515171.67,0,0,87,21.0
478,CASH_IN,424356.27,C1885723224,6407866.94,6832223.22,C74503457,1760703.12,1336346.85,0,0,32,76.0
437,TRANSFER,207801.38,C654688690,207801.38,0.0,C1092203712,0.0,0.0,1,0,63,38.0
380,CASH_OUT,104562.7,C468493193,384889.0,280326.3,C1145504181,0.0,104562.7,0,0,86,54.0
216,CASH_OUT,36300.25,C573579214,36300.25,0.0,C1049156281,0.0,36300.25,1,0,63,76.0
407,CASH_IN,193604.7,C701148686,1009075.55,1202680.25,C176856519,8258947.78,8065343.08,0,0,71,23.0
78,CASH_OUT,1735647.47,C1347258113,1735647.47,0.0,C169356853,0.0,1735647.47,1,0,63,86.0
522,PAYMENT,25119.74,C1120810708,0.0,0.0,M122344381,0.0,0.0,0,0,57,NaN
235,CASH_OUT,224307.51,C703969657,63333.9,0.0,C2014775486,282179.05,506486.56,0,0,72,28.0
236,PAYMENT,9534.58,C1310050098,34507.0,24972.42,M2129903531,0.0,0.0,0,0,58,NaN
453,TRANSFER,2600970.32,C897190163,2600970.32,0.0,C2117423610,0.0,0.0,1,0,44,28.0
631,TRANSFER,341.3,C1952829902,341.3,0.0,C1360897728,0.0,0.0,1,0,57,75.0
69,CASH_OUT,19776.71,C1994183389,19776.71,0.0,C366927459,1138941.53,1158718.24,1,0,44,88.0
397,CASH_OUT,38825.73,C121144724,229774.0,190948.27,C1161341439,634170.46,672996.19,0,0,38,66.0
372,PAYMENT,6992.83,C1527058588,666453.0,659460.17,M832552149,0.0,0.0,0,0,76,NaN
307,CASH_OUT,113702.43,C608448034,0.0,0.0,C1284838181,777823.75,891526.18,0,0,76,80.0
363,TRANSFER,216534.86,C152821682,216534.86,0.0,C580582167,0.0,0.0,1,0,84,44.0
587,TRANSFER,985127.95,C1119643786,985127.95,0.0,C665763176,0.0,0.0,1,0,56,56.0
255,CASH_OUT,50524.81,C415954298,0.0,0.0,C1960277512,2971787.33,3022312.14,0,0,65,58.0
221,TRANSFER,684174.46,C767035250,684174.46,0.0,C870958103,0.0,0.0,1,0,45,61.0
437,TRANSFER,4716.08,C316065946,4716.08,0.0,C900839253,0.0,0.0,1,0,81,57.0
22,TRANSFER,461509.86,C1765744035,461509.86,0.0,C788887602,0.0,0.0,1,0,20,50.0
675,TRANSFER,1091589.88,C99498713,1091589.88,0.0,C1363621822,0.0,0.0,1,0,79,58.0
526,TRANSFER,210525.95,C298176113,210525.95,0.0,C1307679452,0.0,0.0,1,0,87,48.0
291,TRANSFER,87660.69,C1784205179,87660.69,0.0,C923245844,0.0,0.0,1,0,31,69.0
270,CASH_OUT,395531.72,C705295084,395531.72,0.0,C657474312,0.0,395531.72,1,0,46,84.0
490,TRANSFER,1927403.83,C48098605,1927403.83,0.0,C1547394308,0.0,0.0,1,0,50,62.0
293,TRANSFER,234673.76,C954355337,234673.76,0.0,C669925274,0.0,0.0,1,0,20,25.0
79,TRANSFER,664992.86,C2021935445,664992.86,0.0,C332249974,0.0,0.0,1,0,58,33.0
514,CASH_OUT,10000000.0,C1274141620,10000000.0,0.0,C743250798,0.0,10000000.0,1,0,57,26.0
737,CASH_OUT,1281113.84,C1346995049,1281113.84,0.0,C1049862186,0.0,1281113.84,1,0,66,32.0
211,CASH_IN,84952.96,C273057254,1152.0,86104.96,C991133566,45937.06,0.0,0,0,64,82.0
216,PAYMENT,3927.82,C1853825348,7493.0,3565.18,M1031488860,0.0,0.0,0,0,40,NaN
226,CASH_OUT,82869.09,C1143635966,82869.09,0.0,C275663782,104258.05,187127.14,1,0,63,54.0
8,CASH_OUT,43092.0,C1395071924,43092.0,0.0,C79685693,660641.74,1158662.9,1,0,25,47.0
437,TRANSFER,119041.12,C1641625877,119041.12,0.0,C156225699,0.0,0.0,1,0,48,87.0
518,TRANSFER,1165187.89,C199518027,1165187.89,0.0,C519508909,0.0,0.0,1,0,61,68.0
275,CASH_IN,163966.46,C485897164,190.0,164156.46,C191913098,2461771.86,2297805.4,0,0,31,23.0
499,TRANSFER,488243.65,C2117568077,488243.65,0.0,C1238599279,0.0,0.0,1,0,75,48.0
58,CASH_OUT,1789155.73,C853148295,1789155.73,0.0,C439525493,2031388.61,3820544.34,1,0,38,48.0
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,0,70,51.0
343,CASH_OUT,237943.62,C2097433911,237943.62,0.0,C1006104964,2391221.01,2629164.62,1,0,22,78.0
44,CASH_OUT,189303.0,C1867092478,51466.0,0.0,C1938423796,1701241.55,1890544.54,0,0,28,87.0
718,TRANSFER,135289.71,C1736810162,135289.71,0.0,C1450998839,0.0,0.0,1,0,18,70.0
641,TRANSFER,2938833.22,C764985389,2938833.22,0.0,C1105589576,0.0,0.0,1,0,62,62.0
139,CASH_OUT,304051.12,C446907314,0.0,0.0,C927351854,900353.38,1204404.5,0,0,21,19.0
376,TRANSFER,19719.02,C636938205,0.0,0.0,C17680720,837083.84,856802.86,0,0,35,25.0
226,TRANSFER,1115360.27,C810846378,0.0,0.0,C1986049402,9775538.56,10890898.83,0,0,76,44.0
332,PAYMENT,6998.39,C1446455548,0.0,0.0,M2022127017,0.0,0.0,0,0,84,NaN
282,CASH_OUT,140523.4,C463234181,140523.4,0.0,C1418628619,25108.13,165631.53,1,0,71,54.0
350,CASH_OUT,5963850.34,C1892591356,5963850.34,0.0,C1336813990,224597.16,6188447.5,1,0,55,27.0
307,CASH_IN,64355.05,C773345773,387.0,64742.05,C2114224211,0.0,0.0,0,0,37,36.0
406,CASH_OUT,20842.92,C1270123397,20842.92,0.0,C450191991,118111.75,138954.67,1,0,63,22.0
251,PAYMENT,8017.63,C759328599,152729.0,144711.37,M684305838,0.0,0.0,0,0,83,NaN
741,TRANSFER,48442.88,C1112979339,48442.88,0.0,C2114078084,0.0,0.0,1,0,39,40.0
648,CASH_OUT,27584.17,C641646944,27584.17,0.0,C951980885,0.0,27584.17,1,0,78,65.0
436,CASH_OUT,1532229.72,C685396140,1532229.72,0.0,C961098321,89278.84,1621508.56,1,0,36,81.0
225,CASH_OUT,74447.11,C1453762991,74447.11,0.0,C1258404685,0.0,74447.11,1,0,62,19.0
18,CASH_OUT,252114.59,C2058247555,0.0,0.0,C585050597,474269.12,726383.71,0,0,41,35.0
282,TRANSFER,181647.66,C54761777,181647.66,0.0,C1435233045,0.0,0.0,1,0,41,51.0
355,CASH_IN,112787.25,C706276397,19598663.99,19711451.24,C637849095,115483.16,2695.91,0,0,42,67.0
157,CASH_OUT,154449.78,C946433520,0.0,0.0,C992773200,401466.56,555916.34,0,0,89,46.0
161,CASH_OUT,80476.84,C451525198,81122.0,645.16,C801560797,1249618.27,1330095.11,0,0,84,71.0
192,TRANSFER,1489970.0,C850343949,1489970.0,0.0,C1016060070,0.0,0.0,1,0,45,64.0
443,CASH_OUT,1591263.43,C1863182512,1591263.43,0.0,C2126274036,1147865.98,2739129.41,1,0,46,67.0
2,TRANSFER,963532.14,C1440057381,963532.14,0.0,C268086000,0.0,0.0,1,0,63,87.0
263,CASH_OUT,197817.81,C1465365035,3006.58,0.0,C1615159603,2903606.46,3101424.27,0,0,21,49.0
352,CASH_IN,361597.44,C1158232720,2018252.67,2379850.1,C1634206907,14030377.58,13668780.14,0,0,67,22.0
260,TRANSFER,255687.21,C287824917,32524.0,0.0,C1542842482,0.0,255687.21,0,0,51,37.0
629,TRANSFER,93884.26,C1105988166,93884.26,0.0,C217954795,0.0,0.0,1,0,84,22.0
138,CASH_OUT,292915.84,C1581491758,204352.0,0.0,C2127569275,408057.03,700972.87,0,0,74,74.0
388,TRANSFER,960196.16,C1335615679,960196.16,0.0,C650152764,0.0,0.0,1,0,26,82.0
12,CASH_OUT,3964129.99,C1098250442,3964129.99,0.0,C1140712423,1912955.54,5811064.07,1,0,62,34.0
587,TRANSFER,1249721.72,C1794826326,1249721.72,0.0,C1839188526,0.0,0.0,1,0,82,87.0
440,TRANSFER,10000000.0,C2103234501,14339822.23,4339822.23,C667895388,0.0,0.0,1,0,18,35.0
547,TRANSFER,1139983.15,C666869003,1139983.15,0.0,C923969189,0.0,0.0,1,0,30,48.0
206,CASH_OUT,204637.83,C1865168295,10862.0,0.0,C2017963339,469872.66,674510.49,0,0,45,41.0
146,CASH_OUT,60516.53,C1241672000,60516.53,0.0,C271238521,0.0,60516.53,1,0,84,25.0
372,CASH_OUT,48002.33,C1689615170,0.0,0.0,C2096702455,63588.56,111590.89,0,0,86,21.0
225,CASH_IN,128833.66,C1290534760,2449357.64,2578191.3,C285805477,5956689.09,5827855.43,0,0,66,59.0
376,CASH_OUT,119476.04,C52576716,45428.0,0.0,C504081126,0.0,119476.04,0,0,90,77.0
262,PAYMENT,430.65,C1172452194,65440.0,65009.35,M1994934879,0.0,0.0,0,0,70,NaN
714,CASH_OUT,390763.24,C1246584069,390763.24,0.0,C592943127,1422500.77,1813264.01,1,0,43,77.0
269,CASH_OUT,278619.91,C191042832,278619.91,0.0,C302294633,707791.17,986411.08,1,0,72,45.0
43,PAYMENT,305.17,C1107539089,0.0,0.0,M886637110,0.0,0.0,0,0,84,NaN
358,TRANSFER,461511.67,C994769713,20272.0,0.0,C1997421586,0.0,461511.67,0,0,62,49.0
186,CASH_OUT,229909.57,C260366436,0.0,0.0,C1620159110,0.0,229909.57,1,0,49,48.0
227,CASH_OUT,286242.52,C769703636,0.0,0.0,C291891779,358334.23,644576.76,0,0,41,43.0
201,CASH_OUT,459425.72,C759677483,3930.0,0.0,C1800609502,4379076.63,4838502.34,0,0,77,24.0
273,CASH_OUT,327922.09,C1854167113,25931.0,0.0,C973896561,497971.91,825894.01,0,0,40,37.0
379,PAYMENT,2367.53,C2077866777,95192.42,92824.89,M1323300480,0.0,0.0,0,0,89,NaN
277,TRANSFER,242678.33,C688368548,242678.33,0.0,C31250082,0.0,0.0,1,0,71,34.0
374,TRANSFER,1968431.0,C1366764100,1968431.0,0.0,C932961272,0.0,0.0,1,0,80,75.0
48,PAYMENT,2444.13,C1117975990,11395.0,8950.87,M2115285888,0.0,0.0,0,0,67,NaN
325,CASH_IN,229222.3,C1372014965,2148327.88,2377550.18,C1432343687,2860323.7,2631101.39,0,0,24,76.0
339,TRANSFER,164382.72,C121591434,164382.72,0.0,C245389073,0.0,0.0,1,0,32,69.0
383,PAYMENT,11240.63,C1741007646,10517.0,0.0,M997971178,0.0,0.0,0,0,88,NaN
594,CASH_OUT,158010.47,C257957179,31218.0,0.0,C1833681645,1552610.53,1710621.0,0,0,18,25.0
357,CASH_IN,268706.34,C850428325,3149056.32,3417762.66,C707122534,898606.25,629899.91,0,0,74,53.0
47,CASH_OUT,2249574.01,C758510706,2249574.01,0.0,C1011054162,3785286.98,6034861.0,1,0,18,82.0
728,TRANSFER,287040.14,C601193350,287040.14,0.0,C676682698,0.0,0.0,1,0,18,58.0
235,TRANSFER,2684260.67,C1730345649,2684260.67,0.0,C1466122025,0.0,0.0,1,0,31,86.0
398,CASH_OUT,175728.47,C534485091,0.0,0.0,C54704204,377765.81,553494.28,0,0,81,20.0
403,CASH_OUT,264286.19,C198831985,264286.19,0.0,C886414281,714984.86,979271.04,1,0,19,53.0
530,TRANSFER,148680.12,C1687894218,148680.12,0.0,C943795253,0.0,0.0,1,0,31,63.0
191,CASH_IN,292864.76,C202091147,10847780.07,11140644.83,C1228974784,500183.15,207318.38,0,0,89,47.0
348,CASH_OUT,7445820.78,C482730402,7445820.78,0.0,C1332693814,5473995.13,12919815.91,1,0,24,72.0
409,TRANSFER,1018800.91,C1207144684,1018800.91,0.0,C948406463,0.0,0.0,1,0,30,18.0
354,CASH_IN,116601.02,C1779648861,2604139.18,2720740.2,C1954548267,7263321.65,7146720.63,0,0,83,59.0
64,CASH_OUT,3097121.75,C1563094045,3097121.75,0.0,C1677375515,0.0,3097121.75,1,0,54,66.0
205,PAYMENT,3263.22,C732821969,10755.0,7491.78,M517000423,0.0,0.0,0,0,37,NaN
293,CASH_OUT,234673.76,C1848030432,234673.76,0.0,C1552333494,281289.1,515962.86,1,0,24,43.0
236,CASH_IN,142773.57,C2022309225,11068990.4,11211763.98,C1348974108,844429.26,701655.69,0,0,33,40.0
287,CASH_IN,379904.4,C2015427318,4877564.64,5257469.04,C1580662099,785787.58,405883.18,0,0,64,59.0
282,CASH_OUT,445174.88,C1533290940,0.0,0.0,C803552132,1574654.47,2019829.35,0,0,18,68.0
684,CASH_OUT,50552.26,C1761446645,66520.0,15967.74,C1079086061,0.0,50552.26,0,0,43,36.0
15,CASH_OUT,242563.01,C110740088,10506.0,0.0,C586418681,0.0,242563.01,0,0,63,82.0
267,CASH_OUT,2926854.05,C2122806908,2926854.05,0.0,C1546411648,0.0,2926854.05,1,0,21,39.0
35,CASH_OUT,308428.52,C1822591443,21583.0,0.0,C1484952929,0.0,215896.16,0,0,31,90.0
310,CASH_IN,214296.46,C887375987,11462.0,225758.46,C806005303,0.0,0.0,0,0,44,48.0
526,PAYMENT,5688.23,C1889112108,19385.0,13696.77,M1222058855,0.0,0.0,0,0,68,NaN
374,CASH_IN,367226.49,C1032124755,65220.0,432446.49,C1026174290,0.0,0.0,0,0,81,55.0
234,CASH_IN,143902.96,C2044595415,18740376.5,18884279.46,C1014104840,1018719.27,874816.3,0,0,25,49.0
370,PAYMENT,29514.25,C1884227656,0.0,0.0,M1841543870,0.0,0.0,0,0,86,NaN
228,CASH_OUT,137780.59,C1244159470,2768.0,0.0,C105976222,6299.28,144079.87,0,0,60,46.0
687,PAYMENT,529.86,C305856055,163359.76,162829.9,M1669730362,0.0,0.0,0,0,33,NaN
363,TRANSFER,56231.05,C289350716,56231.05,0.0,C106224220,0.0,0.0,1,0,21,53.0
725,CASH_OUT,873322.61,C2077011049,873322.61,0.0,C1352808930,258993.92,1132316.53,1,0,78,75.0
118,CASH_OUT,10000000.0,C1348396248,10000000.0,0.0,C1954217280,0.0,10000000.0,1,0,88,85.0
733,TRANSFER,905919.58,C1435012203,905919.58,0.0,C450820106,0.0,0.0,1,0,40,45.0
399,CASH_IN,75094.15,C1823684308,512575.5,587669.64,C120493286,80822.31,5728.17,0,0,78,37.0
157,CASH_OUT,76278.08,C1247756752,26321.18,0.0,C2007648376,1478294.82,1554572.89,0,0,34,34.0
36,CASH_OUT,326884.31,C1259393771,326884.31,0.0,C275053310,337428.2,664312.51,1,0,74,76.0
152,TRANSFER,2175288.9,C2058960648,2175288.9,0.0,C413773455,0.0,0.0,1,0,72,75.0
186,PAYMENT,1809.49,C925656615,0.0,0.0,M1085857914,0.0,0.0,0,0,46,NaN
15,CASH_OUT,39713.28,C1404885898,0.0,0.0,C1795377601,1274866.51,1314579.79,1,0,28,70.0
19,PAYMENT,2761.85,C1370634251,0.0,0.0,M1275660750,0.0,0.0,0,0,30,NaN
302,CASH_IN,133425.22,C1687914421,26860.0,160285.22,C1952315497,199141.27,65716.05,0,0,37,87.0
408,CASH_OUT,405605.31,C1495141031,43432.0,0.0,C903903250,497008.77,902614.08,0,0,89,83.0
228,CASH_IN,248774.77,C17912322,5324206.82,5572981.58,C1259513099,275478.96,26704.2,0,0,84,65.0
536,CASH_OUT,285382.07,C2026773227,285382.07,0.0,C1098688796,0.0,285382.07,1,0,85,36.0
298,CASH_OUT,308048.92,C522116864,29784.0,0.0,C1226819809,808291.32,1116340.25,0,0,72,57.0
694,TRANSFER,21358.8,C146707584,21358.8,0.0,C770227630,0.0,0.0,1,0,58,67.0
397,PAYMENT,46446.17,C2080222431,244782.0,198335.83,M618767908,0.0,0.0,0,0,31,NaN
38,CASH_OUT,472279.72,C1766705855,104700.0,0.0,C1684031871,11834.5,484114.22,0,0,76,79.0
96,CASH_OUT,10000000.0,C333142995,10000000.0,0.0,C1990623385,841522.24,10841522.24,1,0,44,78.0
191,TRANSFER,1895158.63,C187003586,1895158.63,0.0,C825722694,0.0,0.0,1,0,44,43.0
343,TRANSFER,908228.29,C388892858,908228.29,0.0,C345845243,0.0,0.0,1,0,41,31.0
204,PAYMENT,18376.99,C1032669396,0.0,0.0,M1223969146,0.0,0.0,0,0,89,NaN
234,CASH_OUT,9322.78,C2107429118,0.0,0.0,C348887396,24892.26,34215.05,0,0,39,81.0
