transaction_id,timestamp,source_account,destination_account,transaction_type,amount,customer_age,ip_address,device_id,location,channel,is_fraud,fraud_type
TX3526baf1,2025-01-29 03:24:53,ACCT18258,ACCT88932,Online Payment,9269.31,89,107.218.6.101,DEV-7643,Washington,Branch,False,
TX95a5b912,2025-01-07 15:06:05,ACCT33361,ACCT13427,Wire Transfer,6168.03,86,183.29.197.182,DEV-9310,California,Online Banking,False,
TX6e11975c,2025-01-02 11:54:49,ACCT80007,ACCT74976,Deposit,6569.52,79,124.13.92.253,DEV-3807,Pennsylvania,ATM,False,
TX96436b3c,2025-01-21 06:35:13,ACCT12763,ACCT67098,Withdrawal,5103.12,62,11.190.182.201,DEV-5388,Washington,ATM,True,Tech Support
TX5bdf87ce,2025-01-11 11:52:11,ACCT22675,ACCT31863,Withdrawal,3365.38,64,126.111.219.117,DEV-4218,Ohio,ATM,False,
TX74113012,2025-01-03 02:56:14,ACCT94072,ACCT92048,Online Payment,2419.41,83,227.37.77.165,DEV-6188,Washington,Online Banking,True,Tech Support
TX05a27e64,2025-01-07 06:06:46,ACCT98687,ACCT39683,Deposit,5115.57,61,215.124.19.231,DEV-6076,Florida,Branch,True,Personal Data Breach
TX62c65a85,2025-01-16 02:24:50,ACCT18258,ACCT83604,Online Payment,8700.79,89,87.40.20.223,DEV-5426,Arizona ,Online Banking,False,
TX68d0de5d,2025-01-20 09:26:20,ACCT31351,ACCT46480,Wire Transfer,2209.09,88,238.202.129.228,DEV-2545,California,Online Banking,False,
TXc503f0c4,2025-01-21 16:23:27,ACCT83725,ACCT15197,Wire Transfer,5557.09,64,22.12.26.57,DEV-4177,Texas,Branch,True,Confidence/Romance
TX177f6cc9,2025-01-12 19:49:25,ACCT69673,ACCT56844,Wire Transfer,9033.76,73,56.138.76.59,DEV-7024,Pennsylvania,ATM,True,Investment
TX367dee80,2025-01-28 11:08:13,ACCT29422,ACCT37112,Withdrawal,1579.51,79,92.45.41.169,DEV-2789,Colorado,Branch,False,
TX234afd7b,2025-01-08 15:20:08,ACCT97157,ACCT18854,Wire Transfer,8975.22,77,218.16.14.59,DEV-7411,Ohio,Online Banking,False,
TX2a776b73,2025-01-22 11:08:09,ACCT33755,ACCT92291,Online Payment,5005.3,74,155.231.76.68,DEV-4490,Arizona ,Online Banking,False,
TX9166879a,2025-01-16 04:32:41,ACCT97260,ACCT35319,Online Payment,9686.98,83,204.223.71.118,DEV-5151,Arizona ,Mobile App,False,
TXe1a964e6,2025-01-03 19:37:50,ACCT29507,ACCT15642,Deposit,7514.94,87,48.239.31.233,DEV-6073,Texas,Branch,False,
TX2af3542f,2025-01-24 03:04:52,ACCT44022,EXT-14402,Wire Transfer,4267.05,65,250.87.117.168,DEV-6746,Colorado,Branch,False,
TX0c5561cc,2025-01-10 12:27:37,ACCT19476,ACCT78298,Online Payment,8672.04,71,88.240.152.199,DEV-5674,Colorado,Online Banking,True,Tech Support
TX88ae62de,2025-01-17 06:01:20,ACCT56844,ACCT74976,Deposit,6650.78,60,111.242.71.150,DEV-9320,Florida,Branch,False,
TX910fc726,2025-01-14 04:45:07,ACCT14535,ACCT82234,Wire Transfer,7208.73,85,105.26.225.163,DEV-8990,California,Online Banking,False,
TX5e4aa91c,2025-01-28 22:00:32,ACCT70448,ACCT85089,Online Payment,3721.83,79,48.128.192.67,DEV-1027,Colorado,Branch,False,
TX9436fff1,2025-01-25 22:26:01,ACCT34520,ACCT73153,Online Payment,8242.13,77,111.252.53.162,DEV-3537,New York,Branch,False,
TX0954e5aa,2025-01-14 20:39:04,ACCT99087,EXT-91085,Deposit,7296.54,73,4.161.39.182,DEV-7921,Colorado,Online Banking,False,
TX53a241ca,2025-01-07 16:09:36,ACCT98687,ACCT28467,Wire Transfer,2561.08,61,206.78.125.3,DEV-2895,Florida,Mobile App,False,
TXacabb025,2025-01-19 16:03:47,ACCT63454,ACCT16238,Withdrawal,8641.73,76,113.236.212.76,DEV-2087,New York,ATM,False,
TX40bfc02c,2025-01-29 21:21:53,ACCT89835,EXT-35538,Withdrawal,2117.5,88,228.143.167.116,DEV-8001,Colorado,ATM,True,Confidence/Romance
TX331eeb2d,2025-01-03 17:08:29,ACCT18753,ACCT61236,Online Payment,563.62,66,43.178.152.118,DEV-3292,Florida,ATM,False,
TX5771409f,2025-01-25 17:28:34,ACCT37454,ACCT46909,Online Payment,1328.68,81,15.218.177.166,DEV-9866,Colorado,ATM,False,
TX8b37d9b5,2025-01-09 11:21:23,ACCT74135,ACCT61220,Deposit,89.8,78,237.244.105.147,DEV-5588,Ohio,Online Banking,True,Tech Support
TX048484e3,2025-01-22 05:56:34,ACCT71447,ACCT43202,Online Payment,2201.4,73,42.176.61.26,DEV-8043,Colorado,Online Banking,False,
TX7526dbc9,2025-01-23 19:36:45,ACCT94087,EXT-81395,Online Payment,4089.52,69,197.232.151.190,DEV-8335,Ohio,ATM,True,Tech Support
TX428ca2d5,2025-01-04 23:29:59,ACCT50733,EXT-76942,Wire Transfer,3399.86,68,21.147.46.124,DEV-7598,California,Branch,False,
TX19041f9c,2025-01-11 19:24:16,ACCT71232,ACCT37105,Online Payment,4419.13,60,251.141.84.6,DEV-3865,Arizona ,Mobile App,False,
TXb005d14e,2025-01-16 07:16:07,ACCT87528,ACCT98404,Wire Transfer,8150.95,65,192.49.150.247,DEV-8863,Arizona ,ATM,False,
TX380313cd,2025-01-24 07:42:26,ACCT28254,ACCT35319,Wire Transfer,9690.83,70,226.164.132.216,DEV-3779,Ohio,Branch,False,
TX8a3a12de,2025-01-04 07:47:40,ACCT65738,ACCT21963,Wire Transfer,1085.57,87,151.217.22.152,DEV-2475,Florida,Mobile App,False,
TX715f5c45,2025-01-16 11:40:33,ACCT43228,ACCT92024,Deposit,4263.49,83,101.160.94.65,DEV-3274,New York,Online Banking,False,
TX2f460e85,2025-01-28 04:17:14,ACCT23268,ACCT16957,Online Payment,9016.1,72,169.251.83.221,DEV-5543,Florida,Branch,False,
TX317ffa0d,2025-01-27 21:59:00,ACCT53215,ACCT50665,Withdrawal,5440.04,78,222.3.105.245,DEV-1180,Florida,ATM,False,
TX557c6321,2025-01-27 09:39:21,ACCT75414,ACCT84995,Withdrawal,3444.16,82,139.36.128.235,DEV-6853,New York,Branch,True,Real Estate
TX42d2a160,2025-01-13 16:33:56,ACCT47223,ACCT36864,Withdrawal,8672.4,66,95.67.247.254,DEV-3267,Washington,Mobile App,False,
TXb4d4067e,2025-01-03 20:33:19,ACCT94495,ACCT12439,Online Payment,3157.58,82,166.187.2.152,DEV-5441,Ohio,Branch,True,Tech Support
TXebd69356,2025-01-15 16:23:41,ACCT87738,ACCT27968,Deposit,9907.32,64,190.181.220.92,DEV-3145,Arizona ,Mobile App,False,
TX7e4648d1,2025-01-06 02:41:38,ACCT32602,ACCT86028,Withdrawal,1439.65,73,38.219.111.20,DEV-6777,Colorado,Branch,False,
TX36d7c616,2025-01-04 21:39:24,ACCT49109,EXT-95684,Withdrawal,1231.24,68,35.222.252.28,DEV-2543,Washington,Online Banking,False,
TX4a78562d,2025-01-31 19:25:49,ACCT94087,ACCT74009,Deposit,4415.65,69,194.193.178.125,DEV-2514,Arizona ,Branch,False,
TXffb68bc8,2025-01-27 03:19:54,ACCT24785,ACCT86038,Withdrawal,45.66,65,232.23.165.95,DEV-9271,Colorado,Branch,False,
TXa4418c49,2025-01-14 14:09:13,ACCT97260,ACCT92048,Withdrawal,6718.22,83,66.203.183.77,DEV-4129,Arizona ,Branch,True,Confidence/Romance
TX494a25c5,2025-01-06 07:35:17,ACCT12410,EXT-81552,Online Payment,1523.47,61,184.151.49.182,DEV-3442,Texas,ATM,False,
TX374f496d,2025-01-24 02:35:59,ACCT34520,ACCT31249,Wire Transfer,5827.01,77,120.86.19.12,DEV-7929,Colorado,ATM,False,
TX3dc549a6,2025-01-19 01:35:57,ACCT45925,ACCT24402,Deposit,8172.63,83,15.199.161.238,DEV-3906,California,Branch,True,Confidence/Romance
TX8cce2f2c,2025-01-11 20:40:20,ACCT33361,ACCT89894,Withdrawal,7279.73,86,247.55.219.55,DEV-8507,Ohio,Online Banking,True,Tech Support
TXe24498ab,2025-01-23 01:02:08,ACCT69673,ACCT26821,Withdrawal,1191.48,73,239.162.232.194,DEV-7459,Washington,Mobile App,False,
TX5b2adb63,2025-01-02 19:44:58,ACCT86481,ACCT77829,Wire Transfer,6092.58,80,140.216.22.146,DEV-2647,Florida,Branch,False,
TX2137504d,2025-01-12 04:28:37,ACCT43576,ACCT56153,Withdrawal,650.58,67,230.99.247.62,DEV-4030,Pennsylvania,Branch,True,Personal Data Breach
TXccccfd78,2025-01-11 09:04:31,ACCT27968,ACCT40850,Withdrawal,4725.61,76,153.131.215.45,DEV-5473,Washington,Branch,True,Real Estate
TX7ba24b92,2025-01-17 12:08:24,ACCT38629,ACCT17862,Withdrawal,5011.27,65,59.75.165.23,DEV-8213,Texas,Mobile App,False,
TX54e35462,2025-01-27 02:09:13,ACCT70983,EXT-96455,Withdrawal,5771.61,68,182.166.241.176,DEV-3769,California,Branch,False,
TX9f13999c,2025-01-25 14:40:45,ACCT75642,ACCT79595,Online Payment,3848.55,70,106.57.152.61,DEV-8702,California,Branch,False,
TX9656e3b3,2025-01-17 19:07:56,ACCT54784,ACCT51798,Online Payment,7036.17,75,113.200.68.91,DEV-8044,Arizona ,Online Banking,False,
TX95a58417,2025-01-30 08:18:34,ACCT29664,EXT-85064,Withdrawal,6644.34,74,247.172.120.248,DEV-5020,Washington,ATM,False,
TX8e0d145e,2025-01-03 18:04:00,ACCT45788,ACCT75397,Online Payment,1586.67,67,184.44.250.2,DEV-6547,Texas,Mobile App,False,
TX141304ae,2025-01-29 18:34:56,ACCT80477,ACCT47516,Online Payment,2106.81,64,185.52.130.41,DEV-6451,California,Online Banking,False,
TX77a3a04d,2025-01-31 11:56:15,ACCT94927,ACCT59484,Wire Transfer,4606.91,84,40.131.31.97,DEV-9895,Pennsylvania,ATM,False,
TXd045b927,2025-01-15 06:04:33,ACCT49216,ACCT75642,Wire Transfer,1743.96,85,128.197.192.189,DEV-4718,Pennsylvania,Mobile App,True,Personal Data Breach
TXbc1dbf6c,2025-01-09 03:36:39,ACCT10667,ACCT46280,Deposit,7943.08,62,122.38.146.116,DEV-9074,California,Mobile App,False,
TX1b8008de,2025-01-30 13:28:58,ACCT37112,ACCT38572,Withdrawal,1702.36,78,250.89.178.20,DEV-4551,Florida,ATM,False,
TX91903d93,2025-01-16 06:04:29,ACCT47516,ACCT67690,Deposit,1882.92,62,189.59.130.98,DEV-5946,Washington,Mobile App,False,
TX322f3bd7,2025-01-04 19:04:04,ACCT11188,EXT-91792,Wire Transfer,8238.6,74,144.119.153.239,DEV-2778,Ohio,Online Banking,False,
TXeec5a8be,2025-01-23 16:09:43,ACCT66268,ACCT30539,Withdrawal,6190.24,65,66.115.48.25,DEV-5463,Florida,Online Banking,False,
TXe1813a3e,2025-01-16 01:48:09,ACCT87528,EXT-94637,Online Payment,3347.89,65,200.175.209.120,DEV-9850,Arizona ,Online Banking,False,
TX80496b4c,2025-01-04 23:47:46,ACCT92048,ACCT72462,Online Payment,5462.34,79,133.232.221.135,DEV-3708,Florida,Online Banking,False,
TXd00b5843,2025-01-30 03:24:36,ACCT80289,ACCT43228,Online Payment,218.1,79,250.28.100.60,DEV-9453,New York,Online Banking,False,
TX7c38663c,2025-01-19 01:08:36,ACCT98687,ACCT56849,Withdrawal,7399.04,61,186.94.180.174,DEV-8468,Ohio,Online Banking,False,
TXf021036a,2025-01-27 17:05:28,ACCT97817,ACCT79013,Wire Transfer,1617.08,62,69.44.147.209,DEV-5141,Arizona ,Mobile App,False,
TXd36fe221,2025-01-31 02:54:08,ACCT80477,EXT-70823,Withdrawal,1297.72,64,123.45.37.26,DEV-8744,Pennsylvania,ATM,False,
TX3b824458,2025-01-09 00:33:24,ACCT91788,ACCT86563,Deposit,2982.66,90,112.21.62.253,DEV-3253,Florida,Online Banking,False,
TX9d6ed4cc,2025-01-22 17:37:58,ACCT99854,ACCT51798,Wire Transfer,2006.6,69,106.52.4.111,DEV-5775,Ohio,Mobile App,False,
TXe7954fc7,2025-01-12 22:19:52,ACCT90250,ACCT72462,Deposit,7199.37,77,206.76.108.191,DEV-7602,New York,Online Banking,False,
TXec5fe291,2025-01-22 13:25:45,ACCT62649,ACCT94927,Withdrawal,2716.13,90,51.169.177.216,DEV-1920,Ohio,Online Banking,True,Confidence/Romance
TX00c9af82,2025-01-21 03:08:32,ACCT17349,EXT-41874,Wire Transfer,9785.67,68,188.75.136.111,DEV-4776,California,Mobile App,False,
TXdefaefa1,2025-01-05 15:38:27,ACCT50665,ACCT47269,Deposit,9000.33,86,238.16.130.97,DEV-8295,New York,Online Banking,False,
TXc7a726c8,2025-01-03 20:22:10,ACCT50493,ACCT14097,Withdrawal,5996.22,77,21.222.153.19,DEV-1668,Ohio,ATM,False,
TX1093e7d9,2025-01-09 10:34:17,ACCT83490,ACCT90250,Wire Transfer,4036.08,73,37.124.241.75,DEV-7918,Washington,Mobile App,False,
TX50fc0446,2025-01-21 01:39:36,ACCT97157,ACCT68735,Wire Transfer,1842.19,77,242.121.145.31,DEV-2282,Colorado,Branch,False,
TX1237de7f,2025-01-06 12:46:38,ACCT35987,ACCT80289,Deposit,5242.43,80,153.189.127.149,DEV-7804,Colorado,Mobile App,False,
TX68c67943,2025-01-13 14:15:51,ACCT60293,ACCT24958,Withdrawal,5673.68,67,131.145.222.49,DEV-4255,Arizona ,Mobile App,False,
TXa4d19aee,2025-01-27 01:54:35,ACCT70224,ACCT11262,Wire Transfer,2631.45,77,19.233.7.103,DEV-8733,Texas,Mobile App,False,
TX1adfbe6c,2025-01-09 20:07:55,ACCT19476,ACCT12668,Deposit,9442.88,71,140.206.241.63,DEV-3267,Texas,ATM,False,
TX7f7895e6,2025-01-21 02:07:13,ACCT35319,EXT-49104,Deposit,5662.94,63,225.190.127.193,DEV-3695,California,Mobile App,True,Investment
TX0e36ab29,2025-01-05 07:55:26,ACCT47269,ACCT42649,Online Payment,8547.53,68,200.233.148.79,DEV-1883,Washington,Online Banking,True,Tech Support
TX04b2387f,2025-01-07 14:17:25,ACCT98823,EXT-81186,Deposit,770.7,79,243.119.59.53,DEV-1774,Texas,Branch,False,
TXc2d25d73,2025-01-24 03:53:51,ACCT81946,ACCT21963,Deposit,1996.42,61,218.6.1.25,DEV-1297,Colorado,Online Banking,True,Real Estate
TX1ca8efcb,2025-01-19 22:57:49,ACCT13358,ACCT83490,Wire Transfer,2457.12,70,101.103.55.152,DEV-8909,Arizona ,ATM,True,Confidence/Romance
TX4603f8a5,2025-01-13 22:01:35,ACCT92024,ACCT87069,Wire Transfer,3653.62,69,82.149.60.87,DEV-3355,Texas,Online Banking,False,
TX227de95c,2025-01-07 05:03:46,ACCT15071,EXT-57009,Withdrawal,9906.07,88,106.174.40.181,DEV-7565,Florida,Mobile App,False,
TXcd350a66,2025-01-10 14:43:17,ACCT67690,ACCT38240,Online Payment,8761.6,88,225.102.15.249,DEV-5663,Pennsylvania,Online Banking,False,
TXbd1a7b46,2025-01-23 14:27:50,ACCT94495,EXT-94224,Online Payment,880.73,82,49.136.63.202,DEV-8160,Ohio,Branch,True,Extortion
TX2fa58205,2025-01-02 21:44:11,ACCT72330,EXT-87759,Online Payment,4984.01,69,4.120.18.151,DEV-5385,California,ATM,False,
TX279617bd,2025-01-01 13:12:17,ACCT59809,ACCT36971,Withdrawal,1307.53,86,196.108.205.229,DEV-3970,Pennsylvania,Online Banking,False,
TX2927d1cf,2025-01-19 23:28:35,ACCT13920,ACCT97817,Deposit,9845.56,82,8.166.88.231,DEV-7745,Washington,Mobile App,False,
TX120ebc8a,2025-01-10 19:02:43,ACCT56849,ACCT21963,Deposit,7820.55,72,184.146.81.106,DEV-2984,California,ATM,False,
TX9ae5c9de,2025-01-11 00:33:48,ACCT29507,ACCT52233,Wire Transfer,5157.49,87,123.23.165.58,DEV-6535,Colorado,Branch,True,Investment
TX55d934dc,2025-01-18 16:11:26,ACCT79013,EXT-12407,Withdrawal,6571.09,64,96.221.54.34,DEV-1342,Pennsylvania,Mobile App,False,
TXc2eb1ae0,2025-01-26 09:00:28,ACCT76114,ACCT43228,Wire Transfer,562.55,70,81.214.84.109,DEV-5351,California,Online Banking,False,
TX013fd61f,2025-01-10 13:07:54,ACCT23816,ACCT54330,Withdrawal,4280.71,81,249.70.25.166,DEV-3682,California,Branch,False,
TXfb5a1a6e,2025-01-27 07:52:37,ACCT77129,ACCT24933,Withdrawal,9099.43,84,178.97.167.31,DEV-7029,Colorado,Branch,False,
TXef81110c,2025-01-30 23:44:33,ACCT72579,ACCT75414,Withdrawal,3094.9,68,224.28.62.198,DEV-7463,New York,Online Banking,False,
TX396f271b,2025-01-10 21:56:40,ACCT13920,ACCT45442,Online Payment,7446.36,82,139.67.233.132,DEV-8038,Arizona ,Branch,False,
TX7811bbdb,2025-01-09 19:37:21,ACCT77129,ACCT74563,Withdrawal,1338.06,84,247.146.245.77,DEV-6519,Colorado,Mobile App,False,
TX2d1517a0,2025-01-08 12:46:14,ACCT72330,ACCT48730,Online Payment,8882.8,69,130.6.218.98,DEV-2011,Florida,Branch,False,
TX66d1a364,2025-01-19 22:39:20,ACCT24958,ACCT93624,Online Payment,4193.37,81,155.202.7.162,DEV-4108,Ohio,Branch,False,
TXb29aca97,2025-01-10 13:57:40,ACCT66085,ACCT47223,Online Payment,5707.11,81,207.247.56.145,DEV-8040,California,Online Banking,True,Confidence/Romance
TX4a6225ed,2025-01-06 02:25:56,ACCT47516,ACCT71002,Online Payment,6772.3,62,103.201.224.123,DEV-7853,Texas,Mobile App,True,Extortion
TXf1d5dd91,2025-01-05 15:09:15,ACCT11562,ACCT19538,Withdrawal,885.61,71,228.192.155.231,DEV-2774,Florida,Online Banking,False,
TX14a199fa,2025-01-03 17:55:25,ACCT95828,ACCT80477,Withdrawal,7094.47,87,143.125.16.139,DEV-1405,New York,Branch,True,Tech Support
TX5a2e86cc,2025-01-22 12:52:54,ACCT75642,EXT-91118,Wire Transfer,7449.34,70,31.85.65.110,DEV-7420,New York,Online Banking,False,
TX80d43a2c,2025-01-15 20:44:28,ACCT37842,ACCT74009,Deposit,6434.01,65,105.246.4.10,DEV-4355,Pennsylvania,Branch,True,Extortion
TXb3b31cfb,2025-01-11 18:29:56,ACCT42463,ACCT33762,Online Payment,1337.1,66,43.143.99.240,DEV-7020,Florida,Mobile App,False,
TX97b4f7ae,2025-01-19 06:43:16,ACCT50665,EXT-45993,Wire Transfer,6438.64,86,62.129.118.141,DEV-2279,Colorado,Branch,True,Extortion
TX2d00a88e,2025-01-12 11:10:38,ACCT95828,ACCT75962,Online Payment,9688.28,87,19.156.221.223,DEV-8771,Texas,Mobile App,False,
TX847d43bc,2025-01-14 20:49:05,ACCT31249,ACCT81316,Online Payment,8825.43,65,95.98.188.62,DEV-4131,Arizona ,Online Banking,False,
TXbe620c26,2025-01-05 17:43:01,ACCT26328,ACCT99087,Deposit,1142.36,83,61.199.19.132,DEV-7195,Arizona ,Branch,False,
